,declared_date,last_buy_date,payment_date,dividend_net,dividend_gross,close_price,yield_value,regularity
0,2025-06-01 00:00:00+00:00,2025-06-02 00:00:00+00:00,2025-06-18 00:00:00+00:00,541.0,None,6766.0,8.03,Annual
1,2024-12-15 00:00:00+00:00,2024-12-16 00:00:00+00:00,2024-12-31 00:00:00+00:00,514.0,None,6736.0,7.55,
