,datetime,open,high,low,close,volume,data_status
0,2024-10-01 00:00:00+00:00,112.76,113.96,94.22,99.0,57207678,present
1,2024-11-01 00:00:00+00:00,99.4,116.1,97.22,112.96,61093997,present
2,2024-12-01 00:00:00+00:00,113.16,115.8,93.04,115.5,66383505,present
3,2025-01-01 00:00:00+00:00,115.7,128.86,110.66,121.18,45803625,present
4,2025-02-01 00:00:00+00:00,121.0,150.14,116.02,140.32,90042011,present
5,2025-03-01 00:00:00+00:00,140.5,142.26,118.42,123.3,61139886,present
6,2025-04-01 00:00:00+00:00,123.3,125.3,102.68,114.38,65600163,present
7,2025-05-01 00:00:00+00:00,114.0,114.98,98.5,107.08,29800696,present
8,2025-06-01 00:00:00+00:00,106.78,113.36,102.7,111.22,40566965,present
9,2025-07-01 00:00:00+00:00,111.42,123.32,100.62,120.86,70872565,present
10,2025-08-01 00:00:00+00:00,121.38,132.64,118.42,125.48,40729535,present
11,2025-09-01 00:00:00+00:00,125.54,131.76,117.42,123.88,41841188,present
12,2025-10-01 00:00:00+00:00,123.98,135.0,117.9,123.94,64522201,present
