,datetime,open,high,low,close,volume,data_status
0,2024-10-08 12:00:00+00:00,105.98,106.16,105.78,106.02,111382.0,present
1,2024-10-08 14:00:00+00:00,106.0,106.24,105.9,106.24,111071.0,present
2,2024-10-08 16:00:00+00:00,106.22,107.0,106.06,106.98,120036.0,present
3,2024-10-08 18:00:00+00:00,106.98,106.98,106.22,106.22,58694.0,present
4,2024-10-08 20:00:00+00:00,106.26,106.54,106.04,106.4,36907.0,present
5,2024-10-08 22:00:00+00:00,106.28,106.596,106.004,106.388,51245.4,interpolated
6,2024-10-09 00:00:00+00:00,106.3,106.652,105.968,106.376,65583.8,interpolated
7,2024-10-09 02:00:00+00:00,106.32000000000001,106.708,105.932,106.364,79922.20000000001,interpolated
8,2024-10-09 04:00:00+00:00,106.34,106.764,105.896,106.352,94260.6,interpolated
9,2024-10-09 06:00:00+00:00,106.36,106.82,105.86,106.34,108599.0,present
10,2024-10-09 08:00:00+00:00,106.32,106.8,106.12,106.54,117479.0,present
11,2024-10-09 10:00:00+00:00,106.54,106.62,104.92,105.0,446213.0,present
12,2024-10-09 12:00:00+00:00,104.98,105.0,103.66,104.02,569600.0,present
13,2024-10-09 14:00:00+00:00,104.04,104.12,103.36,103.4,383573.0,present
14,2024-10-09 16:00:00+00:00,103.66,104.06,103.5,103.74,175058.0,present
15,2024-10-09 18:00:00+00:00,103.74,103.96,103.36,103.78,96516.0,present
16,2024-10-09 20:00:00+00:00,103.78,103.88,103.52,103.82,41730.0,present
17,2024-10-09 22:00:00+00:00,103.792,103.964,103.488,103.832,87092.0,interpolated
18,2024-10-10 00:00:00+00:00,103.804,104.048,103.456,103.844,132454.0,interpolated
19,2024-10-10 02:00:00+00:00,103.816,104.13199999999999,103.42399999999999,103.856,177816.0,interpolated
20,2024-10-10 04:00:00+00:00,103.828,104.216,103.392,103.868,223178.0,interpolated
21,2024-10-10 06:00:00+00:00,103.84,104.3,103.36,103.88,268540.0,present
22,2024-10-10 08:00:00+00:00,103.86,104.46,103.32,103.64,454508.0,present
23,2024-10-10 10:00:00+00:00,103.64,103.76,103.16,103.52,210805.0,present
24,2024-10-10 12:00:00+00:00,103.5,104.04,103.32,104.0,281591.0,present
