,declared_date,last_buy_date,payment_date,dividend_net,dividend_gross,close_price,yield_value
0,2025-09-27 00:00:00+00:00,2025-09-26 00:00:00+00:00,2025-10-02 00:00:00+00:00,80.0,,4103.5,1.95
1,2025-04-26 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-12 00:00:00+00:00,80.0,,4356.0,1.84
