,declared_date,last_buy_date,payment_date,dividend_net,dividend_gross,close_price,yield_value
0,2025-10-04 00:00:00+00:00,2025-10-03 00:00:00+00:00,2025-10-13 00:00:00+00:00,35.0,,3014.0,1.16
1,2025-07-15 00:00:00+00:00,2025-07-16 00:00:00+00:00,2025-07-21 00:00:00+00:00,33.0,,3345.0,0.99
2,2025-05-14 00:00:00+00:00,2025-05-15 00:00:00+00:00,2025-05-22 00:00:00+00:00,32.0,,3093.4,1.03
3,2024-11-23 00:00:00+00:00,2024-11-22 00:00:00+00:00,2024-12-09 00:00:00+00:00,92.5,,2460.0,3.76
